CustomerID,segment,recency_days,total_orders,total_revenue,avg_order_value,is_churned,churn_status
12529,Lost,528,1,316.48,15.070476,1,Churned
12530,Loyal,59,9,3759.26,23.792785,0,Active
12531,Potential,14,2,1933.20,15.222047,0,Active
12532,Potential,30,1,349.83,21.864375,0,Active
12533,Lost,627,2,1367.89,18.998472,1,Churned
12534,"At Risk",130,1,1089.18,17.288571,1,Churned
12535,"At Risk",91,2,716.35,21.069118,0,Active
12536,Loyal,43,3,12601.83,48.282874,0,Active
12537,Lost,408,1,732.94,17.045116,1,Churned
12538,Potential,29,2,640.45,18.836765,0,Active
12539,Champions,22,7,11214.75,22.251488,0,Active
12540,Champions,19,33,22254.49,28.864449,0,Active
12541,Loyal,29,3,981.18,18.868846,0,Active
12542,Lost,484,2,481.88,12.355897,1,Churned
12543,Lost,448,1,980.25,22.796512,1,Churned
12544,Potential,36,1,372.70,19.615789,0,Active
12545,Potential,75,2,1000.39,20.007800,0,Active
12546,Potential,46,2,1161.50,16.833333,0,Active
12547,Lost,197,3,383.58,18.265714,1,Churned
12548,"At Risk",166,1,95.20,19.040000,1,Churned
12549,Lost,575,6,1575.68,32.156735,1,Churned
12550,Potential,79,1,964.83,16.926842,0,Active
12551,Lost,357,1,168.00,16.800000,1,Churned
12552,Potential,38,2,437.82,21.891000,0,Active
12553,Champions,8,12,4608.75,19.364496,0,Active
12554,Lost,448,1,468.50,18.019231,1,Churned
12555,Lost,682,1,129.23,129.230000,1,Churned
12556,Potential,50,2,603.71,4.989339,0,Active
12557,Champions,16,8,18716.14,322.692069,0,Active
12558,Potential,7,1,269.96,24.541818,0,Active
12559,Lost,310,2,561.71,26.748095,1,Churned
12560,Loyal,5,3,2134.01,20.323905,0,Active
12561,Lost,302,1,238.85,14.928125,1,Churned
12562,Champions,8,9,4966.92,23.994783,0,Active
12563,Lost,408,1,249.24,19.172308,1,Churned
12564,Lost,261,1,456.90,21.757143,1,Churned
12565,Lost,288,1,145.92,16.213333,1,Churned
12566,Potential,86,1,351.65,18.507895,0,Active
12567,Champions,22,15,13709.86,21.455180,0,Active
12568,Lost,644,1,70.00,14.000000,1,Churned
12569,Champions,2,32,4124.69,21.939840,0,Active
12570,Lost,682,1,77.52,77.520000,1,Churned
12571,Potential,39,2,519.61,15.282647,0,Active
12572,Potential,8,2,1020.42,17.007000,0,Active
12573,Lost,227,5,717.41,6.028655,1,Churned
12574,Lost,315,1,218.45,19.859091,1,Churned
12575,Lost,457,2,622.82,16.390000,1,Churned
12576,Loyal,35,8,2142.72,15.089577,0,Active
12577,Loyal,35,8,1653.75,5.475993,0,Active
12578,Loyal,21,4,4642.45,26.990988,0,Active
12579,Potential,78,1,440.42,15.186897,0,Active
12580,Lost,246,2,1052.90,18.153448,1,Churned
12581,Potential,39,1,197.71,13.180667,0,Active
12582,Lost,238,4,1980.40,19.227184,1,Churned
12583,Champions,2,27,14447.44,31.003090,0,Active
12584,Champions,3,9,2338.15,24.355729,0,Active
12585,Lost,234,2,2040.10,23.449425,1,Churned
12586,Loyal,17,4,2062.67,21.943298,0,Active
12587,Potential,7,1,144.00,36.000000,0,Active
12588,Loyal,39,4,958.78,20.843043,0,Active
12589,Champions,28,8,4695.66,26.087000,0,Active
12590,Lost,211,2,9864.26,145.062647,1,Churned
12591,Lost,317,3,1352.15,19.596377,1,Churned
12592,"At Risk",92,5,2582.66,31.884691,0,Active
12593,"At Risk",108,3,418.10,19.909524,0,Active
12594,Loyal,37,15,5090.11,25.578442,0,Active
12595,Lost,504,1,299.02,15.737895,1,Churned
12596,Potential,51,2,618.27,22.898889,0,Active
12597,Loyal,19,4,3811.22,18.501068,0,Active
12598,Champions,9,11,4534.09,22.010146,0,Active
12599,Champions,29,13,2296.72,17.268571,0,Active
12600,Champions,28,21,5043.92,38.211515,0,Active
12601,Lost,189,6,681.26,20.037059,1,Churned
12602,Potential,58,1,153.12,12.760000,0,Active
12603,Potential,21,1,739.20,369.600000,0,Active
12604,Potential,79,2,254.18,15.886250,0,Active
12605,Lost,376,4,1232.95,16.223026,1,Churned
12606,Lost,682,1,21.00,21.000000,1,Churned
12607,Potential,60,1,1579.51,15.638713,0,Active
12608,Lost,404,1,415.79,25.986875,1,Churned
12609,Potential,78,9,3435.86,19.633486,0,Active
12610,Champions,22,5,2099.54,19.806981,0,Active
12611,Potential,52,1,1193.32,18.358769,0,Active
12612,Potential,74,1,704.04,37.054737,0,Active
12613,Loyal,57,10,6835.07,20.902355,0,Active
12614,Lost,277,1,315.60,15.780000,1,Churned
12615,Champions,2,8,5740.98,21.262889,0,Active
12616,"At Risk",95,3,1131.10,20.946296,0,Active
12617,Potential,29,1,355.53,8.465000,0,Active
12618,Potential,21,1,177.31,16.119091,0,Active
12619,Champions,16,10,3781.38,37.813800,0,Active
12620,Loyal,14,3,1339.41,14.558804,0,Active
12621,Champions,1,35,24775.81,32.176377,0,Active
12622,Lost,232,1,180.10,16.372727,1,Churned
12623,Lost,276,7,3747.84,21.663815,1,Churned
12624,"At Risk",106,2,641.13,16.871842,0,Active
12625,Lost,211,4,5164.88,28.223388,1,Churned
12626,Champions,23,9,6620.48,22.518639,0,Active
12627,Champions,10,7,4478.53,19.471870,0,Active
12628,Loyal,4,3,786.46,19.181951,0,Active
12629,Lost,385,2,1558.22,34.627111,1,Churned
12630,Potential,9,2,1270.88,19.857500,0,Active
12631,Loyal,57,6,3481.57,19.024973,0,Active
12632,Lost,520,2,804.88,22.996571,1,Churned
12633,Loyal,58,7,5678.16,18.556078,0,Active
12634,Lost,535,2,490.00,24.500000,1,Churned
12635,Potential,89,4,2930.41,16.371006,0,Active
12636,Lost,738,1,141.00,141.000000,1,Churned
12637,Potential,67,12,8340.31,13.134346,0,Active
12638,Potential,33,2,921.49,19.197708,0,Active
12639,Lost,238,3,1312.37,20.505781,1,Churned
12640,Loyal,23,3,1174.58,22.161887,0,Active
12641,"At Risk",115,1,185.90,18.590000,0,Active
12642,Loyal,25,3,1013.26,21.558723,0,Active
12643,"At Risk",128,12,8350.42,160.585000,1,Churned
12644,"At Risk",129,4,1918.49,17.283694,1,Churned
12645,Loyal,33,8,3539.30,22.120625,0,Active
12646,Potential,4,2,1346.97,29.932667,0,Active
12647,Champions,22,36,17924.35,32.589727,0,Active
12648,"At Risk",154,4,1112.00,17.107692,1,Churned
12649,"At Risk",107,8,2294.65,19.446186,0,Active
12650,Potential,3,1,314.44,15.722000,0,Active
12651,Lost,334,4,377.75,12.591667,1,Churned
12652,Lost,331,2,1017.03,19.941765,1,Churned
12653,"At Risk",148,3,4160.83,48.381744,1,Churned
12654,Champions,10,5,601.98,15.841579,0,Active
12655,Lost,423,1,261.35,16.334375,1,Churned
12656,Champions,17,8,6407.83,25.942632,0,Active
12657,Loyal,11,4,1643.18,34.961277,0,Active
12658,Potential,18,1,686.05,19.056944,0,Active
12659,Potential,29,1,91.68,18.336000,0,Active
12660,Potential,11,1,245.10,18.853846,0,Active
12661,Lost,436,1,162.00,14.727273,1,Churned
12662,Champions,0,20,6988.02,17.211872,0,Active
12663,Lost,624,2,239.40,23.940000,1,Churned
12664,Champions,8,11,6070.04,134.889778,0,Active
12665,Lost,324,3,313.60,18.447059,1,Churned
12666,Lost,394,1,1248.42,40.271613,1,Churned
12667,Potential,58,1,620.13,18.791818,0,Active
12668,Champions,11,10,11444.68,21.233173,0,Active
12669,"At Risk",150,3,2744.03,27.168614,1,Churned
12670,Champions,10,7,3760.29,32.698174,0,Active
12671,Lost,606,1,2622.48,59.601818,1,Churned
12672,Lost,329,2,437.05,19.865909,1,Churned
12673,Loyal,5,3,1230.02,16.621892,0,Active
12674,Loyal,38,4,1970.60,23.742169,0,Active
12675,Lost,553,2,958.50,8.482301,1,Churned
12676,Champions,24,11,2843.09,26.570935,0,Active
12677,Lost,555,2,395.10,18.814286,1,Churned
12678,Loyal,42,21,34281.18,91.173351,0,Active
12679,Loyal,58,4,1113.02,23.187917,0,Active
12680,Loyal,0,4,880.81,16.619057,0,Active
12681,Champions,14,45,30868.28,21.070498,0,Active
12682,Champions,3,52,24033.91,23.131771,0,Active
12683,Champions,4,21,12696.78,23.469094,0,Active
12684,Champions,7,7,2283.63,21.748857,0,Active
12685,Champions,28,6,2863.08,18.236178,0,Active
12686,Lost,371,1,178.28,12.734286,1,Churned
12687,Lost,480,2,2138.91,16.975476,1,Churned
12688,"At Risk",113,1,4873.81,28.501813,0,Active
12689,Potential,25,2,1247.61,17.327917,0,Active
12690,Lost,205,1,389.01,24.313125,1,Churned
12691,Champions,28,7,1170.40,30.010256,0,Active
12692,Lost,637,1,110.95,8.534615,1,Churned
12693,"At Risk",127,7,1703.02,21.557215,1,Churned
12694,Potential,70,3,1843.35,22.209036,0,Active
12695,Champions,7,7,1407.12,23.849492,0,Active
12696,Lost,434,2,851.91,17.385918,1,Churned
12697,Loyal,28,3,957.59,23.355854,0,Active
12698,Lost,590,1,339.75,21.234375,1,Churned
12699,Lost,417,1,638.11,15.563659,1,Churned
12700,Loyal,7,4,4939.99,18.432799,0,Active
12701,Potential,79,6,2446.41,16.642245,0,Active
12702,Potential,19,1,219.00,18.250000,0,Active
12703,Potential,71,4,1006.53,13.601757,0,Active
12704,Champions,7,8,2340.84,26.600455,0,Active
12705,Champions,15,14,11762.10,19.636227,0,Active
12707,Lost,291,1,603.42,18.285455,1,Churned
12708,Champions,29,18,5314.10,17.142258,0,Active
12709,Champions,15,34,31093.34,62.186680,0,Active
12710,"At Risk",96,3,1149.02,14.922338,0,Active
12711,Lost,611,2,1339.05,22.317500,1,Churned
12712,Champions,28,21,7193.66,26.063986,0,Active
12713,Potential,0,1,848.55,22.330263,0,Active
12714,Champions,9,12,14093.71,20.249583,0,Active
12715,"At Risk",106,1,353.86,16.850476,0,Active
12716,Potential,3,2,1053.49,15.267971,0,Active
12717,"At Risk",151,3,1308.91,18.435352,1,Churned
12718,Potential,71,1,238.25,12.539474,0,Active
12719,Potential,5,2,644.95,16.537179,0,Active
12720,Champions,2,30,8260.67,16.229214,0,Active
12721,Loyal,31,8,4013.08,16.791130,0,Active
12722,Potential,85,4,997.63,18.823208,0,Active
12723,Champions,3,5,725.07,10.508261,0,Active
12724,Champions,5,7,2317.52,17.965271,0,Active
12725,Lost,371,4,2694.56,20.727385,1,Churned
12726,Champions,28,11,4014.60,22.427933,0,Active
12727,Champions,10,10,5679.53,27.977980,0,Active
12728,Potential,71,5,1070.17,17.543770,0,Active
12729,"At Risk",113,1,453.01,17.423462,0,Active
12730,Lost,521,1,829.25,17.643617,1,Churned
12731,Champions,23,17,25775.71,65.587048,0,Active
12732,"At Risk",179,1,236.26,19.688333,1,Churned
12733,Lost,234,4,2424.87,15.445032,1,Churned
12734,Lost,352,3,639.65,33.665789,1,Churned
12735,Lost,315,2,779.57,18.129535,1,Churned
12736,Lost,332,1,234.00,58.500000,1,Churned
12737,Lost,498,2,3710.50,1855.250000,1,Churned
12738,Lost,372,1,310.70,14.122727,1,Churned
12739,Potential,78,4,2726.73,30.637416,0,Active
12740,Potential,63,1,427.60,15.837037,0,Active
12741,Lost,529,2,406.07,25.379375,1,Churned
12742,Lost,625,1,1201.52,17.933134,1,Churned
12743,"At Risk",134,2,546.43,4.077836,1,Churned
12744,Loyal,51,11,25317.06,74.681593,0,Active
12745,Lost,486,3,925.41,40.235217,1,Churned
12746,Lost,540,1,254.55,14.973529,1,Churned
12747,Champions,2,26,9276.54,36.095486,0,Active
12748,Champions,0,336,56599.39,7.830574,0,Active
12749,Champions,3,9,6897.36,20.406391,0,Active
12750,"At Risk",128,1,275.88,18.392000,1,Churned
12751,Lost,444,1,268.27,4.326935,1,Churned
12752,Potential,81,1,4366.78,82.392075,0,Active
12753,Champions,22,6,21429.39,108.778629,0,Active
12754,Lost,235,3,3010.74,47.789524,1,Churned
12755,Lost,280,11,9030.66,141.104063,1,Churned
12756,Potential,86,1,112.08,28.020000,0,Active
12757,Champions,15,13,7857.10,21.178167,0,Active
12758,"At Risk",116,7,9903.24,31.639744,0,Active
12759,Loyal,52,8,5020.74,16.624967,0,Active
12760,Lost,455,1,347.80,16.561905,1,Churned
12761,Lost,457,2,782.95,28.998148,1,Churned
12762,Potential,7,2,1898.52,27.514783,0,Active
12763,"At Risk",138,2,814.16,23.945882,1,Churned
12764,Lost,316,1,1693.88,37.641778,1,Churned
12765,Lost,472,6,1404.58,20.655588,1,Churned
12766,Champions,3,9,10068.28,22.128088,0,Active
12767,Lost,375,1,949.82,22.088837,1,Churned
12768,Lost,450,1,168.69,16.869000,1,Churned
12769,Lost,238,1,1143.60,35.737500,1,Churned
12770,Lost,210,2,3246.45,115.944643,1,Churned
12771,Lost,485,1,282.30,18.820000,1,Churned
12772,Potential,59,1,892.47,16.226727,0,Active
12773,Lost,564,1,124.25,20.708333,1,Churned
12774,Lost,535,1,98.70,16.450000,1,Churned
12775,Champions,17,7,1686.12,20.816296,0,Active
12776,Lost,667,1,55.50,13.875000,1,Churned
12777,Lost,457,1,519.45,19.978846,1,Churned
12778,Champions,19,9,1775.68,15.576140,0,Active
12779,Loyal,37,14,6722.27,24.268123,0,Active
12780,Lost,598,1,337.40,16.870000,1,Churned
12781,Potential,63,2,826.74,33.069600,0,Active
12782,Champions,4,11,4618.24,20.344670,0,Active
12783,Champions,2,6,2225.91,26.498929,0,Active
12784,Loyal,9,3,1804.75,13.776718,0,Active
12785,Lost,364,3,1100.40,19.650000,1,Churned
12786,Lost,609,1,728.50,40.472222,1,Churned
12787,Loyal,9,4,862.18,19.595000,0,Active
12788,Lost,463,4,444.90,17.111538,1,Churned
12789,Potential,65,3,273.35,34.168750,0,Active
12790,Lost,192,2,591.85,15.995946,1,Churned
12791,Lost,373,6,1056.11,35.203667,1,Churned
12792,Lost,256,2,827.01,17.595957,1,Churned
12793,Lost,334,3,1017.33,19.947647,1,Churned
12794,Potential,53,2,860.41,19.120222,0,Active
12795,Potential,18,1,430.48,30.748571,0,Active
12796,Lost,628,1,381.00,54.428571,1,Churned
12797,Lost,365,2,806.11,18.746744,1,Churned
12798,Loyal,10,4,8510.93,257.906970,0,Active
12799,Lost,529,1,219.35,14.623333,1,Churned
12800,Lost,470,3,584.25,17.183824,1,Churned
12801,Lost,500,1,1071.82,21.436400,1,Churned
12802,Lost,186,7,2416.42,17.510290,1,Churned
12803,Lost,393,1,1092.81,19.869273,1,Churned
12804,Lost,465,2,327.02,4.880896,1,Churned
12805,Lost,381,4,1434.95,24.740517,1,Churned
12806,Lost,435,4,2878.96,42.969552,1,Churned
12807,Lost,383,1,330.35,20.646875,1,Churned
12808,Loyal,36,5,906.10,16.779630,0,Active
12809,"At Risk",177,3,1755.94,21.678272,1,Churned
12810,Lost,534,2,534.99,16.718438,1,Churned
12811,Lost,260,5,1033.90,18.462500,1,Churned
12812,Potential,44,1,229.64,15.309333,0,Active
12813,Lost,501,3,1687.80,37.506667,1,Churned
12814,"At Risk",101,1,125.92,62.960000,0,Active
12815,"At Risk",147,2,1063.46,22.626809,1,Churned
12816,"At Risk",95,2,572.20,19.731034,0,Active
12817,Lost,281,3,690.98,27.639200,1,Churned
12818,Lost,261,1,1542.08,110.148571,1,Churned
12819,Lost,458,1,540.52,28.448421,1,Churned
12820,Champions,3,11,2689.52,16.915220,0,Active
12821,Lost,214,2,220.80,16.984615,1,Churned
12822,Potential,70,2,948.88,20.627826,0,Active
12823,Potential,74,18,6501.50,361.194444,0,Active
12824,Potential,59,1,397.12,15.884800,0,Active
12825,Lost,521,2,518.63,21.609583,1,Churned
12826,Champions,2,12,2955.75,17.805723,0,Active
12827,Loyal,5,3,430.15,17.206000,0,Active
12828,Champions,2,6,1018.71,18.191250,0,Active
12829,Lost,336,3,385.30,20.278947,1,Churned
12830,Loyal,37,6,6814.64,179.332632,0,Active
12831,Lost,262,3,451.11,20.505000,1,Churned
12832,Potential,32,2,383.03,14.186296,0,Active
12833,"At Risk",145,1,417.38,17.390833,1,Churned
12834,Lost,282,1,312.38,17.354444,1,Churned
12835,Lost,427,41,6043.31,9.747274,1,Churned
12836,Loyal,59,15,6585.62,15.907295,0,Active
12837,"At Risk",173,2,688.41,7.482717,1,Churned
12838,Loyal,33,10,3398.48,8.034232,0,Active
12839,Champions,2,26,10071.73,17.485642,0,Active
12840,"At Risk",143,7,4041.97,22.965739,1,Churned
12841,Champions,4,40,7540.68,10.741709,0,Active
12842,Potential,70,4,1917.99,39.958125,0,Active
12843,Potential,65,30,6588.41,29.811810,0,Active
12844,Loyal,29,4,648.60,6.297087,0,Active
12845,Lost,267,4,354.09,13.114444,1,Churned
12846,Lost,682,1,15.58,15.580000,1,Churned
12847,Potential,22,2,1636.90,12.991270,0,Active
12848,Lost,675,1,208.00,13.000000,1,Churned
12849,Loyal,31,6,3090.56,20.882162,0,Active
12850,Lost,445,1,330.00,165.000000,1,Churned
12851,"At Risk",96,2,284.13,3.551625,0,Active
12852,Lost,294,1,311.55,18.326471,1,Churned
12853,"At Risk",134,11,3907.50,26.402027,1,Churned
12854,Potential,78,7,2994.02,11.298189,0,Active
12855,Lost,372,4,650.94,9.299143,1,Churned
12856,Champions,7,6,2179.93,6.942452,0,Active
12857,Lost,210,6,3688.00,30.479339,1,Churned
12858,Lost,383,1,177.92,3.631020,1,Churned
12859,Lost,458,1,575.10,27.385714,1,Churned
12860,Lost,693,1,55.47,3.262941,1,Churned
12861,Lost,619,1,68.25,17.062500,1,Churned
12862,Lost,425,2,1008.32,7.581353,1,Churned
12863,Loyal,52,6,2792.55,58.178125,0,Active
12864,"At Risk",138,2,299.57,42.795714,1,Churned
12865,Loyal,26,4,3323.47,17.043436,0,Active
12866,Lost,283,3,1227.35,19.481746,1,Churned
12867,Champions,26,13,7913.29,7.444299,0,Active
12868,Lost,185,8,2247.06,15.390822,1,Churned
12869,Lost,681,1,337.67,9.126216,1,Churned
12870,Lost,375,3,1676.95,18.031720,1,Churned
12871,Potential,84,3,744.02,41.334444,0,Active
12872,Lost,326,12,3685.49,8.452959,1,Churned
12873,Lost,282,3,2027.30,57.922857,1,Churned
12874,Lost,385,2,948.42,19.758750,1,Churned
12875,"At Risk",143,5,1356.99,169.623750,1,Churned
