CustomerID,recency,frequency,monetary,r_score,f_score,m_score,total_clv,churn_status,avg_days_between_purchases,lifespan_days,churn_event
12422,95,21,4119.35,3,1,1,4119.35,"Medium Risk",3.5771,626,1
12423,0,11,2612.19,1,1,2,2612.19,Active,2.8182,465,1
12424,162,7,3289.78,3,2,1,3289.78,"Medium Risk",5.9375,570,1
12425,78,3,1680.81,3,3,2,1680.81,"Low Risk",3.9362,370,1
12426,194,3,1311.41,4,4,2,1311.41,"High Risk",5.7778,468,1
12427,11,5,1011.87,1,2,3,1011.87,Active,8.1818,360,1
12428,25,12,7877.20,2,1,1,7877.20,Active,0.8629,258,1
12429,9,9,7435.51,1,2,1,7435.51,Active,3.1040,537,1
12430,43,1,256.40,2,5,5,256.40,"Low Risk",0.0000,0,1
12431,35,33,10719.41,2,1,1,10719.41,"Low Risk",1.5971,658,1
12432,42,5,5059.32,2,2,1,5059.32,"Low Risk",1.2150,130,1
12433,0,11,20428.86,1,1,1,20428.86,Active,0.6742,476,1
12434,84,5,1062.48,3,3,3,1062.48,"Low Risk",4.0685,297,1
12435,79,6,13925.93,3,2,1,13925.93,"Low Risk",5.9279,658,1
12436,99,1,509.01,3,5,4,509.01,"Medium Risk",0.0000,0,1
12437,1,47,12394.85,1,1,1,12394.85,Active,1.2646,736,1
12438,14,2,2906.85,1,4,1,2906.85,Active,1.2990,126,1
12439,682,3,1104.48,5,3,3,1104.48,"High Risk",0.5811,43,1
12440,457,3,768.15,5,3,3,768.15,"High Risk",7.6471,260,1
12441,366,1,347.10,4,4,4,347.10,"High Risk",0.0000,0,1
12442,3,1,172.06,1,5,5,172.06,Active,0.0000,0,1
12443,732,1,485.31,5,5,4,485.31,"High Risk",0.0000,0,1
12444,21,5,5005.46,2,2,1,5005.46,Active,0.8523,150,1
12445,22,3,426.48,2,3,4,426.48,Active,16.5833,398,1
12446,57,1,1002.31,2,5,3,1002.31,"Low Risk",0.0000,0,1
12447,243,1,476.49,4,4,4,476.49,"High Risk",0.0000,0,1
12448,44,1,449.45,2,5,4,449.45,"Low Risk",0.0000,0,1
12449,22,6,4835.89,2,2,1,4835.89,Active,2.0800,416,1
12450,156,7,666.95,3,2,3,666.95,"Medium Risk",8.1538,318,1
12451,10,10,12546.53,1,1,1,12546.53,Active,1.0117,519,1
12452,16,3,428.57,1,3,4,428.57,Active,0.0000,0,1
12453,134,1,707.09,3,5,3,707.09,"Medium Risk",0.0000,0,1
12454,53,9,4292.71,2,2,1,4292.71,"Low Risk",8.8592,629,1
12455,73,10,5879.95,3,2,1,5879.95,"Low Risk",2.8673,648,1
12456,44,4,3153.89,2,3,1,3153.89,"Low Risk",1.6406,210,1
12457,58,14,2472.31,3,1,2,2472.31,"Low Risk",4.0978,377,1
12458,71,4,1777.49,3,3,2,1777.49,"Low Risk",5.0120,416,1
12459,605,1,454.36,5,5,4,454.36,"High Risk",0.0000,0,1
12460,456,1,326.65,5,5,4,326.65,"High Risk",0.0000,0,1
12461,94,2,826.88,3,4,3,826.88,"Medium Risk",1.7647,60,1
12462,2,4,1124.01,1,3,3,1124.01,Active,4.2394,301,1
12463,46,7,1303.63,2,2,2,1303.63,"Low Risk",2.2414,195,1
12464,10,8,1212.05,1,2,2,1212.05,Active,10.6786,299,1
12465,7,3,733.89,1,3,3,733.89,Active,3.2400,162,1
12466,682,1,56.73,5,5,5,56.73,"High Risk",NULL,0,1
12467,386,2,0.00,4,4,5,0.00,"High Risk",2.1765,37,1
12468,143,10,3624.55,3,2,1,3624.55,"Medium Risk",3.3704,546,1
12469,522,2,3070.54,5,4,1,3070.54,"High Risk",0.1867,14,1
12470,689,1,211.95,5,5,5,211.95,"High Risk",0.0000,0,1
12471,2,129,37948.61,1,1,1,37948.61,Active,0.5667,735,1
12472,30,37,16956.69,2,1,1,16956.69,"Low Risk",0.6679,700,1
12473,29,9,2848.23,2,2,2,2848.23,Active,0.9101,162,1
12474,17,54,11966.45,1,1,1,11966.45,Active,0.8506,649,1
12475,53,2,1149.64,2,4,3,1149.64,"Low Risk",5.9333,356,1
12476,1,38,13715.62,1,1,1,13715.62,Active,0.8881,500,1
12477,22,12,20173.64,2,1,1,20173.64,Active,1.0525,601,1
12478,3,1,680.99,1,5,3,680.99,Active,0.0000,0,1
12479,3,3,477.30,1,3,4,477.30,Active,0.2353,8,1
12480,28,8,5435.10,2,2,1,5435.10,Active,1.9631,479,1
12481,22,18,12217.03,2,1,1,12217.03,Active,1.4848,585,1
12482,449,32,21893.53,5,1,1,21893.53,"High Risk",0.9903,204,1
12483,17,27,4846.87,1,1,1,4846.87,Active,4.4898,660,1
12484,32,16,6303.85,2,1,1,6303.85,"Low Risk",1.4576,704,1
12485,529,1,708.10,5,5,3,708.10,"High Risk",0.0000,0,1
12486,431,1,1037.28,5,5,3,1037.28,"High Risk",0.0000,0,1
12487,730,2,259.80,5,4,4,259.80,"High Risk",0.0000,0,1
12488,9,3,1298.66,1,3,2,1298.66,Active,1.2222,66,1
12489,336,1,334.93,4,4,4,334.93,"High Risk",0.0000,0,1
12490,5,22,9818.64,1,1,1,9818.64,Active,1.5866,733,1
12491,38,1,460.40,2,5,4,460.40,"Low Risk",0.0000,0,1
12492,63,3,715.21,3,3,3,715.21,"Low Risk",8.2927,340,1
12493,165,3,416.79,3,3,4,416.79,"Medium Risk",1.4545,32,1
12494,9,17,1743.52,1,1,2,1743.52,Active,4.6860,567,1
12495,634,2,323.40,5,4,4,323.40,"High Risk",0.3333,6,1
12496,620,2,54.09,5,4,5,54.09,"High Risk",0.0000,0,1
12497,81,4,6211.75,3,3,1,6211.75,"Low Risk",10.5439,601,1
12498,21,3,403.70,2,3,4,403.70,Active,1.6364,36,1
12499,560,1,393.72,5,5,4,393.72,"High Risk",0.0000,0,1
12500,23,25,5872.31,2,1,1,5872.31,Active,4.1935,650,1
12501,315,2,2089.68,4,4,2,2089.68,"High Risk",0.1321,21,1
12502,95,5,3723.87,3,3,1,3723.87,"Medium Risk",1.4658,214,1
12503,337,2,0.00,4,4,5,0.00,"High Risk",123.5000,247,1
12504,18,6,411.00,1,2,4,411.00,Active,23.1200,578,1
12505,301,3,908.00,4,3,3,908.00,"High Risk",2.3261,107,1
12506,232,1,73.50,4,5,5,73.50,"High Risk",0.0000,0,1
12507,134,5,1797.31,3,3,2,1797.31,"Medium Risk",9.0000,450,1
12508,26,2,398.27,2,4,4,398.27,Active,0.0441,3,1
12509,284,1,176.50,4,4,5,176.50,"High Risk",0.0000,0,1
12510,142,16,3689.33,3,1,1,3689.33,"Medium Risk",3.8758,593,1
12511,414,2,3065.77,5,4,1,3065.77,"High Risk",0.0725,14,1
12512,66,2,138.03,3,4,5,138.03,"Low Risk",0.0000,0,1
12513,84,2,586.79,3,4,3,586.79,"Low Risk",0.8000,28,1
12514,267,2,1597.76,4,4,2,1597.76,"High Risk",4.5060,374,1
12515,353,1,383.70,4,4,4,383.70,"High Risk",0.0000,0,1
12516,77,4,2648.62,3,3,2,2648.62,"Low Risk",7.1507,522,1
12517,28,6,2464.89,2,2,2,2464.89,Active,0.5684,162,1
12518,0,5,2056.89,1,2,2,2056.89,Active,0.8943,110,1
12519,63,3,695.19,3,3,3,695.19,"Low Risk",10.0732,413,1
12520,79,6,2582.51,3,2,2,2582.51,"Low Risk",1.2597,194,1
12521,142,1,599.68,3,5,3,599.68,"Medium Risk",0.0000,0,1
12522,39,2,192.72,2,4,5,192.72,"Low Risk",1.0909,12,1
12523,1,30,4220.85,1,1,1,4220.85,Active,2.7879,736,1
12524,9,18,11091.36,1,1,1,11091.36,Active,2.7386,660,1
12525,491,8,835.18,5,2,3,835.18,"High Risk",3.2105,244,1
12526,0,3,1316.66,1,3,2,1316.66,Active,1.3429,94,1
12527,81,5,735.51,3,3,3,735.51,"Low Risk",14.4516,448,1
12528,9,8,1922.28,1,2,2,1922.28,Active,3.2234,303,1
12529,522,2,311.78,5,4,4,311.78,"High Risk",0.2727,6,1
12530,59,12,3689.86,3,1,1,3689.86,"Low Risk",3.6211,583,1
12531,14,3,1899.05,1,3,2,1899.05,Active,5.0909,672,1
12532,30,1,349.83,2,5,4,349.83,"Low Risk",0.0000,0,1
12533,618,6,1149.99,5,2,3,1149.99,"High Risk",1.3483,120,1
12534,130,1,1089.18,3,5,3,1089.18,"Medium Risk",0.0000,0,1
12535,91,2,716.35,3,4,3,716.35,"Medium Risk",2.8788,95,1
12536,7,5,4106.82,1,2,1,4106.82,Active,0.1912,52,1
12537,408,1,732.94,4,5,3,732.94,"High Risk",0.0000,0,1
12538,29,2,640.45,2,4,3,640.45,Active,10.5758,349,1
12539,22,8,9498.90,2,2,1,9498.90,Active,1.3770,694,1
12540,19,36,22107.29,2,1,1,22107.29,Active,0.9212,713,1
12541,29,3,981.18,2,3,3,981.18,Active,4.9216,251,1
12542,484,4,423.38,5,3,4,423.38,"High Risk",3.5455,156,1
12543,448,1,980.25,5,5,3,980.25,"High Risk",0.0000,0,1
12544,29,2,355.70,2,4,4,355.70,Active,0.3684,7,1
12545,75,2,1000.39,3,4,3,1000.39,"Low Risk",3.7551,184,1
12546,46,3,1141.50,2,3,3,1141.50,"Low Risk",0.4493,31,1
12547,197,3,383.58,4,4,4,383.58,"High Risk",15.1500,303,1
12548,166,1,95.20,3,5,5,95.20,"Medium Risk",0.0000,0,1
12549,575,6,1575.68,5,2,2,1575.68,"High Risk",2.5417,122,1
12550,79,1,964.83,3,5,3,964.83,"Low Risk",0.0000,0,1
12551,357,1,168.00,4,4,5,168.00,"High Risk",0.0000,0,1
12552,38,2,437.82,2,4,4,437.82,"Low Risk",0.0526,1,1
12553,8,17,4548.82,1,1,1,4548.82,Active,1.7078,415,1
12554,448,1,468.50,5,5,4,468.50,"High Risk",0.0000,0,1
12555,682,1,129.23,5,5,5,129.23,"High Risk",NULL,0,1
12556,50,2,603.71,2,4,3,603.71,"Low Risk",0.8417,101,1
12557,16,8,18716.14,1,2,1,18716.14,Active,12.3860,706,1
12558,1,2,0.00,1,4,5,0.00,Active,0.2857,6,1
12559,310,3,536.21,4,3,4,536.21,"High Risk",0.4286,9,1
12560,5,4,2101.39,1,3,2,2101.39,Active,1.2545,138,1
12561,302,1,238.85,4,4,5,238.85,"High Risk",0.0000,0,1
12562,8,9,4966.92,1,2,1,4966.92,Active,2.0728,427,1
12563,408,1,249.24,4,5,5,249.24,"High Risk",0.0000,0,1
12564,261,1,456.90,4,4,4,456.90,"High Risk",0.0000,0,1
12565,281,2,131.17,4,4,5,131.17,"High Risk",0.7778,7,1
12566,72,2,346.70,3,4,4,346.70,"Low Risk",0.7368,14,1
12567,22,17,13393.82,2,1,1,13393.82,Active,0.9802,644,1
12568,644,1,70.00,5,5,5,70.00,"High Risk",0.0000,0,1
12569,2,35,4064.99,1,1,1,4064.99,Active,1.3158,250,1
12570,682,1,77.52,5,5,5,77.52,"High Risk",NULL,0,1
12571,39,2,519.61,2,4,4,519.61,"Low Risk",2.4848,82,1
12572,8,3,1004.72,1,3,3,1004.72,Active,0.7049,43,1
12573,227,5,717.41,4,3,3,717.41,"High Risk",2.0169,238,1
12574,315,1,218.45,4,4,5,218.45,"High Risk",0.0000,0,1
12575,457,2,622.82,5,4,3,622.82,"High Risk",1.8649,69,1
12576,35,11,2083.87,2,1,2,2083.87,"Low Risk",3.3630,491,1
12577,35,9,1591.35,2,2,2,1591.35,"Low Risk",2.3212,701,1
12578,21,7,4572.45,2,2,1,4572.45,Active,2.3444,422,1
12579,73,3,410.72,3,3,4,410.72,"Low Risk",0.1667,5,1
12580,246,2,1052.90,4,4,3,1052.90,"High Risk",5.7895,330,1
12581,39,1,197.71,2,5,5,197.71,"Low Risk",0.0000,0,1
12582,238,4,1980.40,4,3,2,1980.40,"High Risk",3.3235,339,1
12583,2,31,14344.90,1,1,1,14344.90,Active,1.5553,731,1
12584,3,18,1893.95,1,1,2,1893.95,Active,2.2160,277,1
12585,234,4,1982.81,4,3,2,1982.81,"High Risk",1.2188,117,1
12586,17,5,2028.67,1,2,2,2028.67,Active,7.4316,706,1
12587,7,1,144.00,1,5,5,144.00,Active,0.0000,0,1
12588,39,5,938.98,2,2,3,938.98,"Low Risk",11.8723,558,1
12589,28,11,3094.17,2,1,1,3094.17,Active,3.1327,661,1
12590,190,5,9853.48,3,3,1,9853.48,"High Risk",5.8592,416,1
12591,317,3,1352.15,4,3,2,1352.15,"High Risk",1.3382,91,1
12592,92,8,1152.62,3,2,3,1152.62,"Medium Risk",5.1446,427,1
12593,108,3,418.10,3,3,4,418.10,"Medium Risk",5.5000,110,1
12594,37,17,5044.51,2,1,1,5044.51,"Low Risk",3.0299,609,1
12595,504,1,299.02,5,5,4,299.02,"High Risk",0.0000,0,1
12596,51,2,618.27,2,4,3,618.27,"Low Risk",7.3462,191,1
12597,19,5,3683.13,2,2,1,3683.13,Active,1.1690,249,1
12598,9,15,4414.67,1,1,1,4414.67,Active,3.0429,639,1
12599,29,13,2296.72,2,1,2,2296.72,Active,4.1515,548,1
12600,28,26,4955.79,2,1,1,4955.79,Active,5.0647,704,1
12601,189,7,673.76,3,2,3,673.76,"High Risk",6.3235,215,1
12602,58,1,153.12,3,5,5,153.12,"Low Risk",0.0000,0,1
12603,21,1,739.20,2,5,3,739.20,Active,0.0000,0,1
12604,79,2,254.18,3,4,5,254.18,"Low Risk",12.1333,182,1
12605,365,5,1217.95,4,2,2,1217.95,"High Risk",1.1481,93,1
12606,682,1,21.00,5,5,5,21.00,"High Risk",NULL,0,1
12607,58,2,0.00,3,4,5,0.00,"Low Risk",0.0100,2,1
12608,404,1,415.79,4,5,4,415.79,"High Risk",0.0000,0,1
12609,78,10,3417.86,3,2,1,3417.86,"Low Risk",3.6629,641,1
12610,22,7,2057.99,2,2,2,2057.99,Active,0.9455,104,1
12611,52,1,1193.32,2,5,2,1193.32,"Low Risk",0.0000,0,1
12612,57,2,643.59,2,4,3,643.59,"Low Risk",0.8500,17,1
12613,31,13,6591.52,2,1,1,6591.52,"Low Risk",2.0058,694,1
12614,277,1,315.60,4,4,4,315.60,"High Risk",0.0000,0,1
12615,2,11,5564.88,1,1,1,5564.88,Active,2.6570,736,1
12616,85,7,1045.35,3,2,3,1045.35,"Low Risk",5.2241,303,1
12617,29,1,355.53,2,5,4,355.53,Active,0.0000,0,1
12618,21,1,177.31,2,5,5,177.31,Active,0.0000,0,1
12619,16,14,3354.95,1,1,1,3354.95,Active,5.2308,544,1
12620,14,3,1339.41,1,3,2,1339.41,Active,2.0879,190,1
12621,1,44,24579.31,1,1,1,24579.31,Active,0.8497,667,1
12622,232,1,180.10,4,5,5,180.10,"High Risk",0.0000,0,1
12623,276,9,3639.84,4,2,1,3639.84,"High Risk",2.4000,420,1
12624,106,2,641.13,3,4,3,641.13,"Medium Risk",1.9189,71,1
12625,211,5,5095.38,4,3,1,5095.38,"High Risk",2.0588,385,1
12626,23,13,6388.35,2,1,1,6388.35,Active,0.9902,303,1
12627,10,7,4478.53,1,2,1,4478.53,Active,0.5677,130,1
12628,4,4,769.61,1,3,3,769.61,Active,1.4286,60,1
12629,385,2,1558.22,4,4,2,1558.22,"High Risk",0.8636,38,1
12630,9,2,1270.88,1,4,2,1270.88,Active,0.5397,34,1
12631,57,7,3452.27,2,2,1,3452.27,"Low Risk",3.4378,636,1
12632,520,4,738.88,5,3,3,738.88,"High Risk",1.1892,44,1
12633,58,10,5595.21,3,1,1,5595.21,"Low Risk",1.4968,467,1
12634,535,2,490.00,5,4,4,490.00,"High Risk",0.6842,13,1
12635,89,4,2930.41,3,3,1,2930.41,"Low Risk",2.0618,367,1
12636,738,1,141.00,5,5,5,141.00,"High Risk",NULL,0,1
12637,67,14,8271.66,3,1,1,8271.66,"Low Risk",0.7461,476,1
12638,33,2,921.49,2,4,3,921.49,"Low Risk",12.8936,606,1
12639,238,3,1312.37,4,4,2,1312.37,"High Risk",6.1746,389,1
12640,23,3,1174.58,2,3,3,1174.58,Active,1.1154,58,1
12641,115,1,185.90,3,5,5,185.90,"Medium Risk",0.0000,0,1
12642,25,3,1013.26,2,3,3,1013.26,Active,1.7826,82,1
12643,128,14,7880.90,3,1,1,7880.90,"Medium Risk",8.7818,483,1
12644,129,6,1815.54,3,2,2,1815.54,"Medium Risk",4.6311,565,1
12645,33,10,3499.10,2,1,1,3499.10,"Low Risk",3.9198,635,1
12646,4,2,1346.97,1,4,2,1346.97,Active,1.0227,45,1
12647,22,45,17682.79,2,1,1,17682.79,Active,1.1745,673,1
12648,154,5,1097.00,3,3,3,1097.00,"Medium Risk",8.4154,547,1
12649,107,10,2238.70,3,2,2,2238.70,"Medium Risk",4.7886,589,1
12650,3,1,314.44,1,5,4,314.44,Active,0.0000,0,1
12651,334,5,365.30,4,2,4,365.30,"High Risk",4.2258,131,1
12652,322,3,1011.58,4,3,3,1011.58,"High Risk",2.1132,112,1
12653,148,3,4160.83,3,3,1,4160.83,"Medium Risk",4.4471,378,1
12654,10,5,601.98,1,2,3,601.98,Active,7.7027,285,1
12655,423,1,261.35,5,5,4,261.35,"High Risk",0.0000,0,1
12656,17,12,6320.78,1,1,1,6320.78,Active,2.1627,545,1
12657,11,5,1152.06,1,2,3,1152.06,Active,1.2182,67,1
12658,18,1,686.05,1,5,3,686.05,Active,0.0000,0,1
12659,29,1,91.68,2,5,5,91.68,Active,0.0000,0,1
12660,11,1,245.10,1,5,5,245.10,Active,0.0000,0,1
12661,436,1,162.00,5,5,5,162.00,"High Risk",0.0000,0,1
12662,0,22,6949.17,1,1,1,6949.17,Active,1.5049,617,1
12663,624,3,204.00,5,3,5,204.00,"High Risk",4.4000,44,1
12664,8,12,6052.04,1,1,1,6052.04,Active,15.9556,718,1
12665,324,5,301.45,4,2,4,301.45,"High Risk",17.2500,345,1
12666,359,2,1020.98,4,4,3,1020.98,"High Risk",1.0938,35,1
12667,58,1,620.13,3,5,3,620.13,"Low Risk",0.0000,0,1
12668,7,12,11380.71,1,1,1,11380.71,Active,1.2294,670,1
12669,150,4,1607.73,3,3,2,1607.73,"Medium Risk",1.0495,106,1
12670,10,8,3750.39,1,2,1,3750.39,Active,5.6552,656,1
12671,606,1,2622.48,5,5,2,2622.48,"High Risk",0.0000,0,1
12672,329,3,410.50,4,3,4,410.50,"High Risk",11.0833,266,1
12673,5,3,1230.02,1,3,2,1230.02,Active,5.4247,396,1
12674,11,7,1919.31,1,2,2,1919.31,Active,2.1778,196,1
12675,553,4,934.80,5,3,3,934.80,"High Risk",0.2193,25,1
12676,24,12,2773.09,2,1,2,2773.09,Active,4.2897,459,1
12677,555,3,389.30,5,3,4,389.30,"High Risk",8.0455,177,1
12678,42,23,33851.13,2,1,1,33851.13,"Low Risk",1.7342,659,1
12679,52,9,1058.67,2,2,3,1058.67,"Low Risk",4.2000,231,1
12680,0,4,880.81,1,3,3,880.81,Active,2.1731,113,1
12681,14,56,30551.76,1,1,1,30551.76,Active,0.4769,712,1
12682,3,53,23945.81,1,1,1,23945.81,Active,0.7061,735,1
12683,4,27,12418.60,1,1,1,12418.60,Active,1.2893,722,1
12684,7,7,2283.63,1,2,2,2283.63,Active,1.9808,206,1
12685,28,6,2863.08,2,2,1,2863.08,Active,0.4167,65,1
12686,371,1,178.28,4,4,5,178.28,"High Risk",0.0000,0,1
12687,480,2,2138.91,5,4,2,2138.91,"High Risk",0.0000,0,1
12688,113,1,4873.81,3,5,1,4873.81,"Medium Risk",0.0000,0,1
12689,25,2,1247.61,2,4,2,1247.61,Active,1.4366,102,1
12690,205,1,389.01,4,5,4,389.01,"High Risk",0.0000,0,1
12691,28,7,1170.40,2,2,3,1170.40,Active,10.3158,392,1
12692,637,1,110.95,5,5,5,110.95,"High Risk",0.0000,0,1
12693,120,11,1640.42,3,1,2,1640.42,"Medium Risk",4.9024,402,1
12694,70,4,1839.45,3,3,2,1839.45,"Low Risk",4.2289,351,1
12695,7,7,1407.12,1,2,2,1407.12,Active,11.3448,658,1
12696,434,3,801.15,5,3,3,801.15,"High Risk",5.0612,248,1
12697,21,5,939.02,2,2,3,939.02,Active,3.5238,148,1
12698,590,1,339.75,5,5,4,339.75,"High Risk",0.0000,0,1
12699,417,1,638.11,5,5,3,638.11,"High Risk",0.0000,0,1
12700,7,6,4867.99,1,2,1,4867.99,Active,0.7732,208,1
12701,79,6,2446.41,3,2,2,2446.41,"Low Risk",3.7945,554,1
12702,19,1,219.00,2,5,5,219.00,Active,0.0000,0,1
12703,64,7,892.18,3,2,3,892.18,"Low Risk",7.4699,620,1
12704,7,10,2220.84,1,1,2,2220.84,Active,1.8202,162,1
12705,15,22,11554.00,1,1,1,11554.00,Active,1.1536,721,1
12706,682,1,-91.89,5,5,5,-91.89,"High Risk",NULL,0,1
12707,291,1,603.42,4,4,3,603.42,"High Risk",0.0000,0,1
12708,29,30,5118.16,2,1,1,5118.16,Active,2.0657,692,1
12709,3,55,30312.61,1,1,1,30312.61,Active,1.2385,727,1
12710,96,4,1130.57,3,3,3,1130.57,"Medium Risk",1.3462,105,1
12711,611,2,1339.05,5,4,2,1339.05,"High Risk",1.1017,65,1
12712,22,28,6979.66,2,1,1,6979.66,Active,2.4164,708,1
12713,0,1,848.55,1,5,3,848.55,Active,0.0000,0,1
12714,9,12,14093.71,1,1,1,14093.71,Active,1.0446,726,1
12715,106,1,353.86,3,5,4,353.86,"Medium Risk",0.0000,0,1
12716,3,2,1053.49,1,4,3,1053.49,Active,1.9118,130,1
12717,151,4,1258.91,3,3,2,1258.91,"Medium Risk",6.1831,439,1
12718,71,1,238.25,3,5,5,238.25,"Low Risk",0.0000,0,1
12719,5,3,608.10,1,3,3,608.10,Active,1.4634,60,1
12720,2,41,8047.88,1,1,1,8047.88,Active,0.9474,504,1
12721,31,10,3906.68,2,1,1,3906.68,"Low Risk",1.7391,440,1
12722,85,6,904.33,3,2,3,904.33,"Low Risk",1.1607,65,1
12723,3,5,725.07,1,2,3,725.07,Active,0.9118,62,1
12724,5,7,2317.52,1,2,2,2317.52,Active,4.1406,530,1
12725,371,4,2694.56,4,3,2,2694.56,"High Risk",1.6512,213,1
